antecedent_verb	antecedent_polarity	antecedent_frame	target	consequent_verb	consequent_embedded_tense	antecedent_text	response_normalized
post	positive	NP V that S	subject	believe	past	A posted that C happened	0.8922708630561829
fantasize	negative	NP V to NP that S[+future]	subject	believe	future	A didn't fantasize to B that C would happen	0.3528377115726471
scowl	negative	NP V to NP that S[+future]	subject	want	future	A didn't scowl to B that C would happen	0.5042235255241394
affirm	negative	NP V to NP that S	subject	believe	past	A didn't affirm to B that C happened	0.4125593900680542
panic	negative	NP V that S	subject	want	past	A didn't panic that C happened	0.6027597188949585
picture	negative	NP V that S[+future]	subject	want	future	A didn't picture that C would happen	0.38754186034202576
teach	positive	NP V NP that S[+future]	subject	want	future	A taught B that C would happen	0.6055781841278076
charm	negative	NP be V that S	subject	want	past	A wasn't charmed that C happened	0.19522851705551147
relax	positive	NP be V that S[-tense]	subject	believe	future	A was relaxed that C happen	0.7805940508842468
bother	positive	NP be V that S	subject	want	past	A was bothered that C happened	0.055347029119729996
threaten	negative	NP V NP that S[+future]	object	want	future	A didn't threaten B that C would happen	0.25967395305633545
publicize	negative	NP V to NP that S	subject	believe	past	A didn't publicize to B that C happened	0.45475471019744873
recall	positive	NP V that S	subject	want	past	A recalled that C happened	0.5272122621536255
tease	positive	NP V NP that S	object	believe	past	A teased B that C happened	0.6978930234909058
horrify	positive	NP V that S[+future]	subject	want	future	A horrified that C would happen	0.051013801246881485
rouse	positive	NP be V that S[+future]	subject	want	future	A was roused that C would happen	0.7193724513053894
reassert	negative	NP V to NP that S	object	believe	past	A didn't reassert to B that C happened	0.33546170592308044
preach	positive	NP V that S[+future]	subject	believe	future	A preached that C would happen	0.8765437006950378
console	positive	NP be V that S	subject	want	past	A was consoled that C happened	0.9472936987876892
brag	negative	NP V that S	subject	believe	past	A didn't brag that C happened	0.5593494176864624
assure	positive	NP V NP that S[+future]	object	want	future	A assured B that C would happen	0.7859867811203003
relearn	positive	NP V that S	subject	believe	past	A relearned that C happened	0.8764276504516602
query	positive	NP be V that S	subject	want	past	A was queried that C happened	0.49897143244743347
stutter	positive	NP V that S	subject	want	past	A stuttered that C happened	0.36009255051612854
pretend	negative	NP V to NP that S	object	believe	past	A didn't pretend to B that C happened	0.34909671545028687
insure	positive	NP V that S	subject	believe	past	A insured that C happened	0.9359766244888306
snitch	negative	NP V to NP that S	object	believe	past	A didn't snitch to B that C happened	0.28001806139945984
show	positive	NP V NP that S[+future]	subject	believe	future	A showed B that C would happen	0.8867080807685852
hint	negative	NP be V that S[+future]	subject	believe	future	A wasn't hinted that C would happen	0.3344799280166626
venture	negative	NP V that S	subject	believe	past	A didn't venture that C happened	0.29399776458740234
reaffirm	positive	NP V to NP that S	object	want	past	A reaffirmed to B that C happened	0.6554937362670898
permit	positive	NP V that S[+future]	subject	want	future	A permitted that C would happen	0.7098808288574219
spread	positive	NP V that S[+future]	subject	believe	future	A spread that C would happen	0.8675912618637085
fantasize	negative	NP V that S[+future]	subject	want	future	A didn't fantasize that C would happen	0.3632003664970398
conceal	negative	NP V to NP that S[+future]	subject	believe	future	A didn't conceal to B that C would happen	0.760688066482544
gall	positive	NP V that S[+future]	subject	believe	future	A galled that C would happen	0.7753943204879761
prompt	negative	NP V that S	subject	want	past	A didn't prompt that C happened	0.35570192337036133
leak	positive	NP V to NP that S	object	want	past	A leaked to B that C happened	0.5062169432640076
suggest	positive	NP V to NP that S	object	want	past	A suggested to B that C happened	0.5208269953727722
clarify	negative	NP V to NP that S[+future]	object	want	future	A didn't clarify to B that C would happen	0.4405318796634674
misjudge	positive	NP V that S	subject	believe	past	A misjudged that C happened	0.7054067254066467
disappoint	positive	NP be V that S[+future]	subject	believe	future	A was disappointed that C would happen	0.835048496723175
tickle	positive	NP be V that S	subject	want	past	A was tickled that C happened	0.943077564239502
giggle	positive	NP V to NP that S[+future]	subject	want	future	A giggled to B that C would happen	0.8261841535568237
taunt	negative	NP be V that S	subject	want	past	A wasn't taunted that C happened	0.5191397666931152
dismay	negative	NP V that S	subject	believe	past	A didn't dismay that C happened	0.7935057282447815
gladden	negative	NP be V that S	subject	want	past	A wasn't gladdened that C happened	0.06496651470661163
vote	negative	NP V that S[+future]	subject	believe	future	A didn't vote that C would happen	0.22807441651821136
rationalize	negative	NP V that S[+future]	subject	want	future	A didn't rationalize that C would happen	0.32196593284606934
request	positive	NP V to NP that S[-tense]	object	want	future	A requested to B that C happen	0.5038750171661377
defend	negative	NP V that S	subject	want	past	A didn't defend that C happened	0.39890581369400024
approve	positive	NP V that S[+future]	subject	believe	future	A approved that C would happen	0.8334835767745972
relax	positive	NP be V that S[+future]	subject	believe	future	A was relaxed that C would happen	0.856195867061615
predict	negative	NP V that S[+future]	subject	believe	future	A didn't predict that C would happen	0.23515275120735168
devastate	negative	NP be V that S	subject	believe	past	A wasn't devastated that C happened	0.8605557680130005
bullshit	negative	NP V to NP that S[+future]	object	want	future	A didn't bullshit to B that C would happen	0.4515047073364258
blare	negative	NP V that S[-tense]	subject	believe	future	A didn't blare that C happen	0.47994354367256165
appraise	positive	NP V that S[+future]	subject	want	future	A appraised that C would happen	0.6681676506996155
represent	positive	NP V to NP that S	object	believe	past	A represented to B that C happened	0.7284612059593201
illuminate	negative	NP V that S[+future]	subject	want	future	A didn't illuminate that C would happen	0.33037322759628296
extrapolate	positive	NP V that S	subject	believe	past	A extrapolated that C happened	0.8558241724967957
devastate	negative	NP V that S[+future]	subject	want	future	A didn't devastate that C would happen	0.5369135737419128
discover	negative	NP V that S	subject	believe	past	A didn't discover that C happened	0.13656048476696014
admonish	positive	NP V that S	subject	want	past	A admonished that C happened	0.19518660008907318
notify	negative	NP V that S[+future]	subject	believe	future	A didn't notify that C would happen	0.4383881092071533
expose	positive	NP V to NP that S[+future]	subject	want	future	A exposed to B that C would happen	0.5202714800834656
address	negative	NP V that S	subject	believe	past	A didn't address that C happened	0.45981794595718384
urge	positive	NP V that S[+future]	subject	want	future	A urged that C would happen	0.8050583600997925
advertise	negative	NP V to NP that S	subject	believe	past	A didn't advertise to B that C happened	0.5203352570533752
bellow	positive	NP V to NP that S	object	believe	past	A bellowed to B that C happened	0.802191436290741
rant	positive	NP V to NP that S[+future]	subject	want	future	A ranted to B that C would happen	0.3139820694923401
report	negative	NP V to NP that S	object	believe	past	A didn't report to B that C happened	0.4030153751373291
shout	positive	NP V that S[+future]	subject	believe	future	A shouted that C would happen	0.8795834183692932
confirm	negative	NP V to NP that S	object	believe	past	A didn't confirm to B that C happened	0.4427393972873688
accept	positive	NP V that S[+future]	subject	want	future	A accepted that C would happen	0.37856534123420715
narrate	positive	NP V to NP that S[+future]	subject	want	future	A narrated to B that C would happen	0.5668748021125793
yearn	positive	NP V that S[+future]	subject	want	future	A yearned that C would happen	0.9497902989387512
placate	positive	NP be V that S[+future]	subject	want	future	A was placated that C would happen	0.8609673380851746
show	negative	NP V NP that S[+future]	object	want	future	A didn't show B that C would happen	0.4402385354042053
assure	negative	NP V NP that S[+future]	subject	want	future	A didn't assure B that C would happen	0.386919766664505
request	negative	NP V that S	subject	believe	past	A didn't request that C happened	0.46572020649909973
blog	negative	NP V that S[+future]	subject	want	future	A didn't blog that C would happen	0.403822660446167
suspect	negative	NP V that S[+future]	subject	want	future	A didn't suspect that C would happen	0.3253251612186432
fuss	positive	NP V that S[+future]	subject	believe	future	A fussed that C would happen	0.7557655572891235
sigh	negative	NP V to NP that S[+future]	subject	believe	future	A didn't sigh to B that C would happen	0.4762260615825653
affirm	positive	NP V to NP that S	object	want	past	A affirmed to B that C happened	0.672255277633667
pray	negative	NP V that S[+future]	subject	believe	future	A didn't pray that C would happen	0.36191093921661377
warn	positive	NP V NP that S	object	believe	past	A warned B that C happened	0.7303652167320251
denounce	negative	NP V that S[+future]	subject	want	future	A didn't denounce that C would happen	0.6153348684310913
stutter	negative	NP V that S	subject	believe	past	A didn't stutter that C happened	0.621292233467102
reminisce	positive	NP V that S	subject	believe	past	A reminisced that C happened	0.9527894854545593
maintain	negative	NP V that S[+future]	subject	want	future	A didn't maintain that C would happen	0.37730997800827026
bet	positive	NP V NP that S	subject	want	past	A bet B that C happened	0.8656808733940125
hint	negative	NP V to NP that S	subject	want	past	A didn't hint to B that C happened	0.4150531589984894
alarm	negative	NP V NP that S	subject	believe	past	A didn't alarm B that C happened	0.5860496759414673
decline	positive	NP V that S	subject	want	past	A declined that C happened	0.26924049854278564
forgive	negative	NP V that S[+future]	subject	believe	future	A didn't forgive that C would happen	0.5804266333580017
imply	positive	NP V that S	subject	believe	past	A implied that C happened	0.7826551795005798
fax	positive	NP V NP that S	subject	believe	past	A faxed B that C happened	0.8591128587722778
evaluate	negative	NP V that S	subject	want	past	A didn't evaluate that C happened	0.41538092494010925
intercept	positive	NP V that S[+future]	subject	want	future	A intercepted that C would happen	0.5512276291847229
oppose	positive	NP be V that S[-tense]	subject	believe	future	A was opposed that C happen	0.44942936301231384
signify	positive	NP V that S[+future]	subject	believe	future	A signified that C would happen	0.844862699508667
care	negative	NP V that S[+future]	subject	believe	future	A didn't care that C would happen	0.5749266147613525
demand	negative	NP V that S[-tense]	subject	want	future	A didn't demand that C happen	0.35877668857574463
wager	negative	NP V that S[+future]	subject	want	future	A didn't wager that C would happen	0.26443058252334595
point_out	negative	NP V to NP that S	subject	believe	past	A didn't point out to B that C happened	0.6575403809547424
signal	positive	NP V that S	subject	want	past	A signalled that C happened	0.689159095287323
croak	negative	NP V to NP that S	subject	believe	past	A didn't croak to B that C happened	0.531902015209198
reprimand	negative	NP be V that S[+future]	subject	believe	future	A wasn't reprimanded that C would happen	0.5503280162811279
fume	positive	NP V that S[-tense]	subject	want	future	A fumed that C happen	0.06364229321479797
scoff	negative	NP V that S[+future]	subject	want	future	A didn't scoff that C would happen	0.6213070154190063
threaten	negative	NP be V that S	subject	want	past	A wasn't threatened that C happened	0.5579239726066589
obsess	negative	NP V that S[+future]	subject	want	future	A didn't obsess that C would happen	0.49532032012939453
embolden	positive	NP be V that S[+future]	subject	believe	future	A was emboldened that C would happen	0.7645449638366699
will	negative	NP V that S[+future]	subject	want	future	A didn't will that C would happen	0.29239189624786377
embarrass	negative	NP be V that S	subject	want	past	A wasn't embarrassed that C happened	0.6908074617385864
alert	positive	NP V NP that S[+future]	object	believe	future	A alerted B that C would happen	0.7473852038383484
confess	positive	NP V to NP that S[+future]	object	believe	future	A confessed to B that C would happen	0.8076910376548767
scream	positive	NP V to NP that S[+future]	object	believe	future	A screamed to B that C would happen	0.9063757061958313
agree	negative	NP V to NP that S[+future]	subject	want	future	A didn't agree to B that C would happen	0.31483951210975647
formulate	negative	NP V that S	subject	believe	past	A didn't formulate that C happened	0.20841075479984283
reckon	positive	NP V to NP that S[+future]	subject	believe	future	A reckoned to B that C would happen	0.8270736932754517
chide	negative	NP V NP that S	object	believe	past	A didn't chide B that C happened	0.3987649381160736
relax	negative	NP be V that S[-tense]	subject	want	future	A wasn't relaxed that C happen	0.2346186339855194
devastate	negative	NP be V that S[+future]	subject	want	future	A wasn't devastated that C would happen	0.6439855694770813
disgrace	positive	NP be V that S[+future]	subject	want	future	A was disgraced that C would happen	0.05996111407876015
admit	positive	NP V to NP that S[+future]	object	believe	future	A admitted to B that C would happen	0.7453131079673767
prejudge	negative	NP V that S	subject	believe	past	A didn't prejudge that C happened	0.3997185528278351
scheme	positive	NP V that S[+future]	subject	want	future	A schemed that C would happen	0.7553458213806152
allege	negative	NP V to NP that S	subject	want	past	A didn't allege to B that C happened	0.40932321548461914
portray	positive	NP V that S	subject	believe	past	A portrayed that C happened	0.800422191619873
strain	negative	NP V that S[+future]	subject	believe	future	A didn't strain that C would happen	0.560096800327301
growl	negative	NP V to NP that S	object	believe	past	A didn't growl to B that C happened	0.5029539465904236
affirm	negative	NP V to NP that S	object	believe	past	A didn't affirm to B that C happened	0.4054586887359619
brood	negative	NP V that S	subject	want	past	A didn't brood that C happened	0.44845131039619446
dislike	positive	NP V that S[+future]	subject	believe	future	A disliked that C would happen	0.7748676538467407
predict	negative	NP V that S	subject	want	past	A didn't predict that C happened	0.4061448872089386
glean	positive	NP V that S[+future]	subject	want	future	A gleaned that C would happen	0.6251955628395081
communicate	negative	NP V to NP that S[+future]	subject	believe	future	A didn't communicate to B that C would happen	0.4400160610675812
type	positive	NP V to NP that S[+future]	subject	believe	future	A typed to B that C would happen	0.8664381504058838
freak_out	negative	NP V that S	subject	want	past	A didn't freak out that C happened	0.5573853254318237
repeat	positive	NP V to NP that S	object	believe	past	A repeated to B that C happened	0.6179206967353821
remark	positive	NP V that S	subject	want	past	A remarked that C happened	0.5755838751792908
conjecture	negative	NP V that S	subject	believe	past	A didn't conjecture that C happened	0.3698554039001465
plot	negative	NP V that S	subject	want	past	A didn't plot that C happened	0.40737274289131165
recap	negative	NP V that S[+future]	subject	want	future	A didn't recap that C would happen	0.43002602458000183
appall	negative	NP be V that S	subject	want	past	A wasn't appalled that C happened	0.6141183376312256
grunt	positive	NP V to NP that S[+future]	subject	believe	future	A grunted to B that C would happen	0.7412149310112
post	positive	NP V to NP that S[+future]	object	believe	future	A posted to B that C would happen	0.6918609738349915
discern	positive	NP V that S	subject	believe	past	A discerned that C happened	0.8750696778297424
mumble	negative	NP V to NP that S[+future]	subject	want	future	A didn't mumble to B that C would happen	0.4939136803150177
read	negative	NP V to NP that S[+future]	subject	want	future	A didn't read to B that C would happen	0.43696171045303345
assure	negative	NP V to NP that S[+future]	subject	want	future	A didn't assure to B that C would happen	0.38656681776046753
embolden	positive	NP be V that S	subject	believe	past	A was emboldened that C happened	0.9030967354774475
devastate	positive	NP be V that S[+future]	subject	believe	future	A was devastated that C would happen	0.5091683268547058
find_out	positive	NP V that S[+future]	subject	want	future	A found out that C would happen	0.5064116716384888
pine	positive	NP V that S	subject	believe	past	A pined that C happened	0.67691570520401
propose	positive	NP V to NP that S	object	want	past	A proposed to B that C happened	0.580545961856842
excite	positive	NP be V that S[+future]	subject	want	future	A was excited that C would happen	0.9540532827377319
explain	positive	NP V to NP that S	subject	believe	past	A explained to B that C happened	0.9291173219680786
guide	negative	NP V that S	subject	want	past	A didn't guide that C happened	0.380298376083374
satisfy	negative	NP be V that S[+future]	subject	believe	future	A wasn't satisfied that C would happen	0.44597265124320984
jest	negative	NP V that S	subject	believe	past	A didn't jest that C happened	0.6742011904716492
ignore	negative	NP V that S	subject	want	past	A didn't ignore that C happened	0.4722278416156769
assure	positive	NP V NP that S	object	believe	past	A assured B that C happened	0.661078929901123
imagine	positive	NP V that S	subject	want	past	A imagined that C happened	0.6602782011032104
fascinate	negative	NP be V that S[+future]	subject	believe	future	A wasn't fascinated that C would happen	0.5425227880477905
decide	positive	NP be V that S	subject	believe	past	A was decided that C happened	0.9213752150535583
foresee	negative	NP V that S	subject	believe	past	A didn't foresee that C happened	0.4699629247188568
surmise	negative	NP V that S[+future]	subject	want	future	A didn't surmise that C would happen	0.41956573724746704
groan	positive	NP V that S[+future]	subject	want	future	A groaned that C would happen	0.057407230138778687
grunt	negative	NP V that S[+future]	subject	believe	future	A didn't grunt that C would happen	0.5705785155296326
phone	positive	NP V to NP that S[+future]	subject	want	future	A phoned to B that C would happen	0.6952685117721558
concern	positive	NP be V that S[+future]	subject	believe	future	A was concerned that C would happen	0.6096153855323792
flip_out	negative	NP be V that S[+future]	subject	want	future	A wasn't flipped out that C would happen	0.5500198602676392
submit	negative	NP V to NP that S	object	want	past	A didn't submit to B that C happened	0.4267095625400543
promise	negative	NP be V that S	subject	want	past	A wasn't promised that C happened	0.531198263168335
impress	negative	NP be V that S	subject	want	past	A wasn't impressed that C happened	0.20358431339263916
reply	negative	NP V that S	subject	want	past	A didn't reply that C happened	0.3459487557411194
wonder	negative	NP V that S[+future]	subject	want	future	A didn't wonder that C would happen	0.4978574812412262
confuse	negative	NP be V that S	subject	believe	past	A wasn't confused that C happened	0.8255358338356018
boggle	positive	NP be V that S	subject	believe	past	A was boggled that C happened	0.6170973777770996
rebuke	negative	NP V that S	subject	want	past	A didn't rebuke that C happened	0.5440566539764404
overwhelm	positive	NP be V that S[+future]	subject	believe	future	A was overwhelmed that C would happen	0.6389539837837219
elaborate	negative	NP V to NP that S[+future]	object	believe	future	A didn't elaborate to B that C would happen	0.3763043284416199
disclose	negative	NP V that S	subject	believe	past	A didn't disclose that C happened	0.5805000066757202
compute	negative	NP V that S[+future]	subject	believe	future	A didn't compute that C would happen	0.16910038888454437
prejudge	negative	NP V that S[-tense]	subject	want	future	A didn't prejudge that C happen	0.41771209239959717
kid	positive	NP V that S	subject	want	past	A kidded that C happened	0.4956884980201721
comprehend	positive	NP V that S	subject	want	past	A comprehended that C happened	0.6162675619125366
blame	positive	NP be V that S	subject	want	past	A was blamed that C happened	0.11978927254676819
misinform	positive	NP V NP that S[+future]	subject	want	future	A misinformed B that C would happen	0.5245736837387085
relax	negative	NP be V that S	subject	want	past	A wasn't relaxed that C happened	0.23168331384658813
oblige	negative	NP V that S	subject	believe	past	A didn't oblige that C happened	0.429039865732193
crush	positive	NP be V that S[+future]	subject	want	future	A was crushed that C would happen	0.04398860037326813
advertise	negative	NP V to NP that S	object	believe	past	A didn't advertise to B that C happened	0.36156535148620605
show	positive	NP V NP that S[+future]	object	want	future	A showed B that C would happen	0.5926393866539001
enthrall	negative	NP be V that S[+future]	subject	want	future	A wasn't enthralled that C would happen	0.13662046194076538
chat	positive	NP V to NP that S	subject	want	past	A chatted to B that C happened	0.6394079327583313
snicker	positive	NP V to NP that S	object	want	past	A snickered to B that C happened	0.4484124183654785
rediscover	negative	NP V that S	subject	believe	past	A didn't rediscover that C happened	0.4024907946586609
gall	positive	NP be V that S[+future]	subject	believe	future	A was galled that C would happen	0.4878009855747223
agitate	negative	NP be V that S[+future]	subject	believe	future	A wasn't agitated that C would happen	0.6191949248313904
embarrass	positive	NP be V that S[+future]	subject	believe	future	A was embarrassed that C would happen	0.5580016374588013
print	positive	NP V that S	subject	believe	past	A printed that C happened	0.8549724221229553
underscore	negative	NP V that S	subject	want	past	A didn't underscore that C happened	0.41501015424728394
address	negative	NP V that S	subject	want	past	A didn't address that C happened	0.31273210048675537
moan	positive	NP V to NP that S	subject	want	past	A moaned to B that C happened	0.09275342524051666
email	negative	NP V to NP that S	object	believe	past	A didn't email to B that C happened	0.3557441830635071
prove	positive	NP V to NP that S	subject	want	past	A proved to B that C happened	0.7202749848365784
forecast	negative	NP V that S[+future]	subject	believe	future	A didn't forecast that C would happen	0.24036850035190582
groan	negative	NP V to NP that S[+future]	subject	believe	future	A didn't groan to B that C would happen	0.559656023979187
testify	negative	NP V to NP that S[+future]	subject	believe	future	A didn't testify to B that C would happen	0.28078415989875793
laugh	negative	NP V that S	subject	believe	past	A didn't laugh that C happened	0.5775496363639832
remark	positive	NP V that S[+future]	subject	believe	future	A remarked that C would happen	0.8954784274101257
phone	negative	NP V that S	subject	believe	past	A didn't phone that C happened	0.3684503436088562
videotape	positive	NP V that S	subject	want	past	A videotaped that C happened	0.7638291716575623
admit	negative	NP V that S	subject	believe	past	A didn't admit that C happened	0.38774895668029785
venture	positive	NP V that S	subject	believe	past	A ventured that C happened	0.8019815683364868
quibble	positive	NP V that S	subject	believe	past	A quibbled that C happened	0.6824303865432739
check	positive	NP V that S	subject	want	past	A checked that C happened	0.5646222829818726
reply	negative	NP V to NP that S[+future]	subject	want	future	A didn't reply to B that C would happen	0.4358465075492859
console	negative	NP V that S	subject	believe	past	A didn't console that C happened	0.675626814365387
caution	positive	NP V NP that S[+future]	subject	want	future	A cautioned B that C would happen	0.34066349267959595
posit	negative	NP V to NP that S	object	believe	past	A didn't posit to B that C happened	0.41577619314193726
submit	negative	NP V to NP that S	object	believe	past	A didn't submit to B that C happened	0.43678149580955505
frighten	positive	NP be V that S[+future]	subject	believe	future	A was frightened that C would happen	0.6428266763687134
misinform	negative	NP V that S	subject	want	past	A didn't misinform that C happened	0.5252969861030579
denounce	negative	NP V that S	subject	believe	past	A didn't denounce that C happened	0.7348135709762573
vex	negative	NP be V that S[+future]	subject	want	future	A wasn't vexed that C would happen	0.5639373660087585
blog	positive	NP V that S	subject	want	past	A blogged that C happened	0.5954043865203857
communicate	positive	NP V to NP that S	object	believe	past	A communicated to B that C happened	0.7690120935440063
figure	negative	NP V that S[+future]	subject	believe	future	A didn't figure that C would happen	0.23297712206840515
pray	negative	NP V that S[+future]	subject	want	future	A didn't pray that C would happen	0.3073453903198242
sputter	positive	NP V that S[-tense]	subject	believe	future	A sputtered that C happen	0.65914386510849
infer	negative	NP V that S	subject	believe	past	A didn't infer that C happened	0.2449772208929062
astound	positive	NP V that S[+future]	subject	want	future	A astounded that C would happen	0.576526403427124
convince	negative	NP V NP that S[+future]	object	want	future	A didn't convince B that C would happen	0.4294004440307617
express	positive	NP V to NP that S[+future]	object	want	future	A expressed to B that C would happen	0.5505433678627014
ensure	positive	NP V that S	subject	want	past	A ensured that C happened	0.8454801440238953
challenge	positive	NP V that S[+future]	subject	want	future	A challenged that C would happen	0.5081638097763062
advocate	positive	NP V that S[-tense]	subject	believe	future	A advocated that C happen	0.7415496706962585
signal	negative	NP V to NP that S[+future]	subject	want	future	A didn't signal to B that C would happen	0.45387211441993713
request	positive	NP V that S	subject	believe	past	A requested that C happened	0.7141708731651306
squeal	positive	NP V to NP that S[+future]	subject	want	future	A squealed to B that C would happen	0.6183368563652039
apologize	positive	NP V that S[+future]	subject	want	future	A apologized that C would happen	0.19904518127441406
smell	positive	NP V that S	subject	believe	past	A smelt that C happened	0.7973637580871582
muse	negative	NP V that S	subject	believe	past	A didn't muse that C happened	0.4218654930591583
hesitate	positive	NP V that S	subject	want	past	A hesitated that C happened	0.44245052337646484
fight	negative	NP V NP that S	object	believe	past	A didn't fight B that C happened	0.761120617389679
okay	negative	NP V that S[+future]	subject	believe	future	A didn't okay that C would happen	0.335549533367157
rant	positive	NP V to NP that S	object	want	past	A ranted to B that C happened	0.3224290907382965
state	negative	NP V that S[+future]	subject	believe	future	A didn't state that C would happen	0.3492678105831146
disapprove	positive	NP V that S	subject	believe	past	A disapproved that C happened	0.7686202526092529
reiterate	positive	NP V to NP that S[+future]	subject	believe	future	A reiterated to B that C would happen	0.910026490688324
underline	negative	NP V that S	subject	believe	past	A didn't underline that C happened	0.4004620313644409
blast	negative	NP V that S	subject	want	past	A didn't blast that C happened	0.3650718033313751
deduce	negative	NP V that S	subject	believe	past	A didn't deduce that C happened	0.23795346915721893
advertise	negative	NP V to NP that S[+future]	subject	want	future	A didn't advertise to B that C would happen	0.4711861312389374
scowl	positive	NP V that S	subject	believe	past	A scowled that C happened	0.8345485329627991
lie	negative	NP V to NP that S[+future]	object	want	future	A didn't lie to B that C would happen	0.5497019290924072
generalize	positive	NP V to NP that S[+future]	subject	want	future	A generalized to B that C would happen	0.6392022371292114
caution	positive	NP V NP that S[+future]	object	believe	future	A cautioned B that C would happen	0.6337985992431641
signal	negative	NP V to NP that S	subject	believe	past	A didn't signal to B that C happened	0.4692147374153137
protest	positive	NP V to NP that S	subject	believe	past	A protested to B that C happened	0.7708532214164734
snitch	positive	NP V to NP that S[+future]	object	want	future	A snitched to B that C would happen	0.43578994274139404
boast	positive	NP V to NP that S	subject	want	past	A boasted to B that C happened	0.9253180027008057
scrutinize	negative	NP V that S	subject	believe	past	A didn't scrutinize that C happened	0.6551526188850403
acknowledge	positive	NP V that S	subject	believe	past	A acknowledged that C happened	0.9437691569328308
spook	negative	NP be V that S	subject	want	past	A wasn't spooked that C happened	0.42582499980926514
anguish	negative	NP be V that S	subject	want	past	A wasn't anguished that C happened	0.4486306607723236
bellow	positive	NP V that S[+future]	subject	want	future	A bellowed that C would happen	0.3928043246269226
sneer	positive	NP V to NP that S[+future]	subject	want	future	A sneered to B that C would happen	0.21497073769569397
fool	negative	NP be V that S[+future]	subject	believe	future	A wasn't fooled that C would happen	0.33320653438568115
jeer	negative	NP V that S	subject	want	past	A didn't jeer that C happened	0.5105083584785461
surmise	positive	NP V that S[+future]	subject	want	future	A surmised that C would happen	0.6203165650367737
mutter	negative	NP V that S	subject	believe	past	A didn't mutter that C happened	0.513984203338623
inform	positive	NP V NP that S	subject	believe	past	A informed B that C happened	0.8931558132171631
predict	negative	NP V to NP that S	subject	want	past	A didn't predict to B that C happened	0.40260472893714905
tell	negative	NP V that S[+future]	subject	want	future	A didn't tell that C would happen	0.38364654779434204
petition	negative	NP be V that S	subject	want	past	A wasn't petitioned that C happened	0.3640255630016327
wish	positive	NP V that S[-tense]	subject	believe	future	A wished that C happen	0.5660249590873718
reiterate	positive	NP V to NP that S[+future]	subject	want	future	A reiterated to B that C would happen	0.7078884840011597
reevaluate	negative	NP V that S	subject	believe	past	A didn't reevaluate that C happened	0.49518778920173645
hope	negative	NP V that S	subject	believe	past	A didn't hope that C happened	0.4307471513748169
underscore	negative	NP V that S[+future]	subject	want	future	A didn't underscore that C would happen	0.42488157749176025
know	positive	NP V that S[+future]	subject	want	future	A knew that C would happen	0.6739186644554138
stutter	positive	NP V to NP that S[-tense]	subject	believe	future	A stuttered to B that C happen	0.6351093649864197
anguish	positive	NP V that S	subject	want	past	A anguished that C happened	0.050019629299640656
ascertain	negative	NP V that S[+future]	subject	want	future	A didn't ascertain that C would happen	0.19993112981319427
argue	negative	NP V to NP that S[+future]	object	believe	future	A didn't argue to B that C would happen	0.5200218558311462
fluster	positive	NP be V that S	subject	believe	past	A was flustered that C happened	0.8196195960044861
envy	positive	NP V that S	subject	believe	past	A envied that C happened	0.8788040280342102
respond	positive	NP V that S[+future]	subject	want	future	A responded that C would happen	0.6766394972801208
fantasize	negative	NP V to NP that S[+future]	subject	want	future	A didn't fantasize to B that C would happen	0.47327110171318054
calculate	positive	NP V that S	subject	believe	past	A calculated that C happened	0.8719142079353333
simulate	negative	NP be V that S	subject	believe	past	A wasn't simulated that C happened	0.4117455780506134
irk	positive	NP be V that S	subject	believe	past	A was irked that C happened	0.8548685312271118
quip	positive	NP V that S[+future]	subject	believe	future	A quipped that C would happen	0.6556172370910645
signal	positive	NP V to NP that S[+future]	subject	want	future	A signalled to B that C would happen	0.6453906297683716
back	negative	NP V that S	subject	want	past	A didn't back that C happened	0.2579982280731201
uncover	negative	NP V that S[+future]	subject	want	future	A didn't uncover that C would happen	0.42003944516181946
charge	negative	NP be V that S[+future]	subject	want	future	A wasn't charged that C would happen	0.4531846344470978
submit	positive	NP V to NP that S	object	believe	past	A submitted to B that C happened	0.7345839738845825
challenge	negative	NP V NP that S[+future]	object	believe	future	A didn't challenge B that C would happen	0.5664745569229126
warn	positive	NP V that S[+future]	subject	believe	future	A warned that C would happen	0.8213710188865662
ensure	positive	NP be V that S[+future]	subject	want	future	A was ensured that C would happen	0.8390364050865173
astonish	positive	NP be V that S	subject	believe	past	A was astonished that C happened	0.7521782517433167
defend	negative	NP V that S[-tense]	subject	believe	future	A didn't defend that C happen	0.43548914790153503
weep	positive	NP V that S	subject	want	past	A wept that C happened	0.06159375235438347
chant	negative	NP V to NP that S[+future]	object	want	future	A didn't chant to B that C would happen	0.503946840763092
reassert	positive	NP V that S	subject	want	past	A reasserted that C happened	0.7399025559425354
mumble	negative	NP V that S[+future]	subject	believe	future	A didn't mumble that C would happen	0.49922871589660645
remind	positive	NP V NP that S[+future]	subject	want	future	A reminded B that C would happen	0.6580411195755005
declare	positive	NP V that S[+future]	subject	want	future	A declared that C would happen	0.5875750780105591
lie	positive	NP V to NP that S	object	want	past	A lied to B that C happened	0.6009610295295715
explain	positive	NP V to NP that S[+future]	object	want	future	A explained to B that C would happen	0.48194408416748047
agonize	positive	NP V that S[+future]	subject	believe	future	A agonized that C would happen	0.6925613284111023
object	positive	NP V that S	subject	want	past	A objected that C happened	0.07068654149770737
